id,created_at,updated_at,clerk_user_id,email,first_name,last_name,avatar_url,platform_role,is_active,last_login_at,preferences,metadata
b8378524-c3b6-4652-6983-adbddb7aa9dd,2025-05-11T14:20:00.042Z,2026-02-20T00:40:26.474Z,sample_text_1698,masked_8n14z1@example.com,REDACTED,REDACTED,sample_text_5860,sample_text_2808,false,2025-08-26T09:39:59.051Z,sample_text_9373,sample_text_4418
074f3f9d-1d98-495a-36ce-ea4c10de32e7,2025-04-29T17:18:01.642Z,2025-06-19T07:13:16.804Z,sample_text_2414,masked_ss2c5u@example.com,REDACTED,REDACTED,sample_text_7232,sample_text_3306,false,2025-07-10T09:39:32.707Z,sample_text_3168,sample_text_9106
2f694710-7063-42cd-b6b6-33ab87581536,2026-02-16T01:34:03.067Z,2025-09-29T16:00:27.541Z,sample_text_9796,masked_si4u6c@example.com,REDACTED,REDACTED,sample_text_9327,sample_text_9519,true,2025-09-27T16:20:04.167Z,sample_text_354,sample_text_7912
3bfa1ef4-6a42-4cc6-e6e5-1989f79cca90,2026-04-10T16:19:11.886Z,2025-09-01T14:19:30.646Z,sample_text_5518,masked_0blzz4@example.com,REDACTED,REDACTED,sample_text_4594,sample_text_3939,true,2025-08-09T01:01:26.418Z,sample_text_8107,sample_text_9534
7275a4a2-65a3-47ed-3d1e-7026f453021d,2026-01-19T10:05:42.704Z,2025-11-02T17:14:33.490Z,sample_text_1004,masked_j050ad@example.com,REDACTED,REDACTED,sample_text_3636,sample_text_9547,true,2025-10-01T01:46:23.136Z,sample_text_3230,sample_text_7139
cf7e2aea-c07d-4ed1-1fc0-69c3d64d741c,2025-05-05T13:08:32.855Z,2025-10-03T03:16:22.567Z,sample_text_7973,masked_27zq8h@example.com,REDACTED,REDACTED,sample_text_2470,sample_text_842,true,2026-02-20T15:04:49.512Z,sample_text_2851,sample_text_2676
1f8bb59a-e0eb-4b2b-fe13-07a0c2675cb8,2025-09-12T21:57:56.452Z,2025-06-10T00:05:42.647Z,sample_text_3117,masked_mnixpk@example.com,REDACTED,REDACTED,sample_text_882,sample_text_5705,true,2026-02-10T03:34:22.238Z,sample_text_7180,sample_text_9053
7eb2d58e-90b4-4cb6-235b-f52575ca8c43,2025-09-27T10:24:36.434Z,2025-11-01T19:08:10.328Z,sample_text_4590,masked_jfi8im@example.com,REDACTED,REDACTED,sample_text_6639,sample_text_7373,false,2025-08-27T09:27:54.065Z,sample_text_4440,sample_text_2088
367ec86b-33cc-4e1c-99be-6d4f3680b591,2025-10-19T06:06:44.031Z,2025-11-15T14:33:06.470Z,sample_text_2064,masked_c05485@example.com,REDACTED,REDACTED,sample_text_5452,sample_text_6542,true,2025-09-07T09:29:46.088Z,sample_text_2968,sample_text_9580
b68d9d85-277a-4f14-1564-cbb9598388f9,2025-11-15T00:58:04.191Z,2025-12-15T17:14:31.887Z,sample_text_2495,masked_kbzi5z@example.com,REDACTED,REDACTED,sample_text_6645,sample_text_9402,true,2026-02-24T05:56:32.600Z,sample_text_7347,sample_text_4595
03983122-261d-403c-9284-32860383f137,2026-03-06T16:22:21.044Z,2025-12-05T11:49:30.947Z,sample_text_4131,masked_46ug2b@example.com,REDACTED,REDACTED,sample_text_9378,sample_text_166,false,2025-11-13T22:28:06.166Z,sample_text_13,sample_text_5375
59b39d5f-196d-4a89-1b1d-30029759628a,2025-08-07T14:47:13.319Z,2025-04-16T20:57:26.152Z,sample_text_2064,masked_746vmq@example.com,REDACTED,REDACTED,sample_text_7179,sample_text_2258,true,2026-02-01T21:50:11.989Z,sample_text_4155,sample_text_7988
9b6a74d9-b351-48c9-fd99-3ea43ff586df,2025-05-11T02:42:38.626Z,2025-04-18T04:33:32.940Z,sample_text_2153,masked_27ttb9@example.com,REDACTED,REDACTED,sample_text_8544,sample_text_474,true,2026-01-16T04:52:06.027Z,sample_text_345,sample_text_7908
4b5660c5-6ded-4e88-5938-1722c262ea15,2026-01-14T04:44:09.290Z,2026-01-18T09:30:37.861Z,sample_text_9934,masked_wmabgi@example.com,REDACTED,REDACTED,sample_text_3950,sample_text_1269,true,2026-02-20T14:43:12.126Z,sample_text_1895,sample_text_4691
f1f1b656-b2d4-47c0-837f-3221be4d02cd,2025-05-12T07:38:35.257Z,2026-03-23T01:19:05.308Z,sample_text_4445,masked_fvoaco@example.com,REDACTED,REDACTED,sample_text_3678,sample_text_2659,true,2025-09-01T04:48:58.818Z,sample_text_5190,sample_text_5562
d686c193-7466-44fb-b1a6-37325154df4c,2025-09-04T07:30:29.564Z,2025-07-22T16:40:31.935Z,sample_text_3904,masked_rogces@example.com,REDACTED,REDACTED,sample_text_5569,sample_text_4603,true,2025-04-25T20:21:29.270Z,sample_text_5962,sample_text_7245
af45888d-3cda-415b-1d81-91022a417bde,2025-12-30T09:40:43.601Z,2025-12-24T21:57:28.455Z,sample_text_1597,masked_r14exj@example.com,REDACTED,REDACTED,sample_text_5129,sample_text_5517,false,2025-08-16T01:44:46.558Z,sample_text_8971,sample_text_4718
db60da3b-65f5-43f8-0cf6-3a1af6e416bd,2026-01-19T01:45:41.475Z,2025-07-31T15:35:00.107Z,sample_text_7302,masked_1b3d1q@example.com,REDACTED,REDACTED,sample_text_9691,sample_text_713,true,2025-05-20T08:37:08.913Z,sample_text_5357,sample_text_7699
47f67693-54d3-499f-af1f-6dc1264f95f8,2025-09-10T12:38:57.967Z,2026-01-02T09:40:57.403Z,sample_text_8693,masked_kqp34z@example.com,REDACTED,REDACTED,sample_text_5123,sample_text_3854,true,2025-05-08T17:48:35.554Z,sample_text_7813,sample_text_8659
6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,2025-07-22T18:02:06.840Z,2025-09-23T06:24:34.514Z,sample_text_5538,masked_4zrfia@example.com,REDACTED,REDACTED,sample_text_1013,sample_text_5933,true,2025-08-30T23:55:38.183Z,sample_text_3706,sample_text_2831
a7fdde05-87ad-4532-1887-2448d13ec652,2026-03-31T12:30:49.105Z,2026-03-12T14:09:28.140Z,sample_text_2621,masked_o5ps3y@example.com,REDACTED,REDACTED,sample_text_1613,sample_text_4654,false,2026-02-06T17:06:05.081Z,sample_text_7119,sample_text_5171
f8d9b2f5-6abe-4500-e812-54aa85e6d1f7,2026-01-17T07:30:42.780Z,2025-10-18T10:10:21.247Z,sample_text_5250,masked_hvlk5r@example.com,REDACTED,REDACTED,sample_text_9187,sample_text_517,false,2026-02-26T12:01:04.459Z,sample_text_5582,sample_text_4117
74bd910d-f592-4d1d-0e88-4bd9512f610b,2025-11-05T01:21:15.499Z,2025-09-11T15:24:45.888Z,sample_text_400,masked_rzddbf@example.com,REDACTED,REDACTED,sample_text_384,sample_text_9700,true,2026-02-13T17:29:14.053Z,sample_text_2531,sample_text_8228
